# NEST version: 3.8.0
# RecordingBackendASCII version: 2
sender	time_ms
30	1.900
91	1.600
220	1.700
292	1.900
5	2.500
90	2.300
106	2.200
154	3.000
339	2.400
36	3.800
45	3.100
73	3.600
114	3.800
115	3.500
213	3.200
357	3.500
368	3.800
385	3.700
32	4.900
66	4.100
81	4.100
97	4.300
128	5.000
147	4.400
162	4.900
175	4.400
237	4.500
250	5.000
258	4.500
260	4.400
264	4.300
302	4.400
306	4.300
324	4.600
344	4.900
369	4.600
25	6.000
31	5.400
77	5.400
130	5.700
141	5.600
148	5.800
168	5.700
180	5.400
222	5.700
245	5.300
280	5.200
287	5.500
298	5.400
327	5.500
348	5.400
375	5.600
382	5.900
390	5.100
399	5.400
2	6.500
13	6.600
27	6.100
50	6.600
101	6.500
150	7.000
151	6.400
152	6.200
178	7.000
187	6.500
193	6.700
208	6.700
210	6.800
212	6.900
271	6.900
308	6.900
326	6.400
331	6.900
340	6.200
358	6.600
400	6.300
37	7.300
63	7.100
67	7.100
75	7.500
123	7.300
131	7.900
133	7.600
139	7.700
158	7.600
172	8.000
173	7.700
176	7.800
200	7.100
201	7.600
215	7.300
227	7.900
241	7.300
242	7.800
249	7.200
256	7.400
261	7.400
262	7.400
307	7.400
315	7.500
332	7.400
360	7.700
391	7.800
396	7.200
3	8.200
28	8.800
33	8.300
85	8.400
86	8.400
92	8.600
105	8.400
117	8.500
142	8.300
174	8.900
192	8.100
198	8.400
202	8.800
209	8.700
223	8.100
231	8.300
252	8.700
267	8.100
282	8.400
342	8.100
343	8.100
363	8.400
366	8.900
9	9.300
35	9.700
40	9.400
61	9.700
81	9.800
82	9.200
84	9.400
94	9.800
95	9.900
109	9.300
129	9.800
179	9.400
204	9.300
244	9.200
286	9.100
305	9.700
356	9.100
367	10.000
378	9.900
387	9.300
4	10.600
12	10.100
18	10.900
60	10.400
66	10.200
90	10.400
97	10.200
98	10.800
107	10.500
147	10.100
157	10.500
168	10.700
169	10.600
182	10.300
189	10.400
232	10.400
263	10.500
289	10.200
309	10.500
313	10.800
321	10.500
333	10.300
361	11.000
381	10.900
382	10.700
100	11.700
144	11.900
160	11.100
171	11.200
243	11.500
124	12.500
155	12.600
26	14.000
89	13.200
143	13.100
300	13.900
69	14.400
306	14.300
325	15.000
72	15.100
218	15.100
364	16.000
114	17.000
100	17.200
301	17.500
319	17.200
51	18.100
165	18.200
41	19.300
110	19.400
282	19.400
310	19.600
377	20.000
72	21.000
140	20.800
155	20.100
219	20.200
49	21.300
284	22.400
285	22.900
287	22.600
122	24.600
185	24.300
213	24.600
306	24.500
340	24.800
3	27.000
110	26.700
295	26.700
347	26.800
374	26.800
394	27.000
220	27.200
239	27.500
181	28.700
211	28.100
218	28.700
233	28.300
265	29.000
282	28.400
373	28.800
51	29.800
102	29.100
119	29.700
125	30.000
