# NEST version: 3.8.0
# RecordingBackendASCII version: 2
sender	time_ms
437	3.500
441	3.800
407	4.600
410	4.300
436	4.600
468	4.400
480	4.700
500	4.500
411	5.900
420	5.700
421	5.400
486	5.100
409	6.900
412	6.200
433	6.500
476	7.000
413	7.700
416	7.800
439	7.800
434	8.800
448	8.700
449	8.800
454	8.900
461	8.900
474	8.100
481	8.700
482	8.800
489	8.900
491	8.800
406	9.500
429	9.800
430	9.900
451	9.500
462	9.800
465	9.900
495	9.700
402	10.500
422	10.500
428	10.700
438	11.000
446	11.000
477	10.400
484	11.000
493	10.900
407	11.300
426	12.800
417	13.300
451	14.200
483	14.100
443	16.000
445	19.900
468	19.300
452	20.300
470	20.700
421	23.300
431	27.100
415	28.900
425	28.500
468	28.100
448	29.300
458	29.200
470	29.100
492	30.000
459	30.800
434	31.500
442	32.000
402	32.700
404	32.900
405	32.800
471	32.600
485	32.800
447	33.500
478	33.900
496	33.300
450	34.300
427	36.000
454	36.000
475	35.100
481	35.800
420	36.300
494	36.700
432	37.200
439	38.100
409	41.300
412	41.700
498	41.200
499	42.000
401	42.900
433	43.000
463	42.400
480	43.200
483	43.900
436	45.700
422	46.800
446	46.900
477	46.700
490	46.700
402	47.900
416	47.400
423	48.000
429	47.100
439	47.400
442	47.300
455	47.100
476	47.600
413	49.000
414	48.800
486	48.400
487	48.800
497	48.300
454	49.800
484	49.100
495	50.900
409	51.600
405	52.100
426	53.900
461	53.700
410	54.400
473	55.500
409	56.300
419	56.900
430	56.500
444	56.400
457	56.900
488	59.800
416	60.200
465	60.200
411	62.200
469	63.000
475	63.100
492	65.800
464	66.500
468	66.400
421	67.300
403	68.300
431	68.100
420	69.800
440	71.900
472	71.400
415	72.100
445	72.800
500	72.700
414	73.500
493	73.600
423	74.300
428	74.900
434	74.400
480	74.200
483	74.200
453	75.100
467	75.400
499	75.500
448	77.100
450	78.000
425	78.700
489	78.900
424	80.900
476	80.100
486	80.900
418	81.500
439	81.400
438	82.600
463	82.400
465	82.400
404	83.400
422	83.100
461	83.100
462	85.700
470	85.400
478	85.200
484	85.400
491	85.100
456	86.700
413	89.000
426	88.300
467	89.000
488	88.800
449	89.500
401	90.100
427	90.100
443	90.100
471	90.200
479	90.200
499	90.700
438	91.200
498	91.900
441	92.800
408	93.700
469	93.500
429	96.000
447	96.800
458	96.900
487	96.400
414	97.900
450	97.400
452	98.900
462	98.100
496	98.900
500	98.500
473	99.400
430	100.200
457	100.500
466	100.400
474	100.400
402	101.200
444	103.000
454	102.500
459	103.300
417	105.000
442	104.700
483	104.600
494	104.700
435	105.500
475	105.100
411	106.500
421	110.800
405	111.100
420	111.900
491	111.400
492	111.500
410	112.300
475	112.100
419	113.800
431	113.300
456	113.200
493	116.000
429	116.700
432	116.800
439	118.100
497	118.400
468	119.300
471	119.700
474	119.700
476	120.800
401	121.600
423	121.800
454	122.000
460	121.800
480	121.500
472	122.300
406	123.100
479	123.400
412	124.900
422	124.500
436	124.100
495	125.000
498	124.500
499	125.400
449	126.900
451	128.000
489	127.600
461	130.400
446	132.800
404	133.500
428	133.600
463	133.600
486	133.200
488	133.600
437	135.000
443	134.600
482	135.400
484	135.100
417	136.800
407	137.600
426	137.700
440	137.800
452	137.600
464	137.700
494	137.800
418	138.100
492	138.500
414	139.400
403	140.800
408	140.100
446	141.300
448	141.400
476	141.600
487	141.500
402	142.600
442	142.800
450	142.400
462	143.000
473	142.400
484	142.900
430	143.100
491	143.100
434	144.700
437	144.600
479	145.300
413	146.900
454	146.200
469	148.900
496	148.800
481	149.400
444	150.700
478	150.500
429	151.800
470	152.000
500	151.200
405	152.700
415	155.500
401	157.900
466	157.100
443	158.200
411	160.700
425	160.100
420	161.500
431	161.400
435	161.700
475	162.000
456	162.800
468	162.600
494	163.000
486	163.900
412	164.800
439	164.600
465	164.500
446	165.400
476	165.200
499	165.100
449	166.500
457	166.600
430	167.100
454	167.600
489	167.700
493	167.200
410	168.700
413	168.300
426	170.000
490	169.800
461	170.900
429	171.700
436	171.100
458	172.500
477	172.100
480	172.400
452	173.800
455	173.400
472	173.300
500	173.900
450	174.500
406	175.200
415	175.500
451	176.000
495	175.700
470	176.100
422	177.800
424	177.800
438	177.100
421	178.900
435	179.000
403	181.700
423	181.600
470	181.800
492	181.300
428	182.900
417	184.000
462	183.500
404	185.300
483	185.200
456	186.300
405	187.800
457	187.800
401	188.100
478	188.200
430	189.100
444	189.100
463	189.100
471	189.800
488	190.800
454	191.900
436	192.300
447	192.200
405	194.000
432	193.400
443	194.100
419	197.000
472	196.300
474	196.800
411	197.500
412	197.400
422	198.300
436	199.000
498	198.100
401	200.000
406	200.000
414	199.100
439	199.800
442	199.600
445	199.700
449	199.900
453	199.300
490	199.800
423	200.200
478	200.300
481	200.200
487	200.400
497	201.000
460	201.300
493	201.100
448	202.100
496	203.600
434	204.500
466	204.600
437	206.000
500	205.800
411	208.700
426	209.000
485	208.700
489	210.100
495	211.800
450	212.900
470	212.500
467	214.600
479	214.500
456	215.900
461	216.100
431	217.400
468	217.300
499	217.500
425	218.500
459	218.900
473	218.900
462	219.700
492	219.500
417	220.900
435	220.300
500	221.000
421	223.000
475	222.100
492	223.900
472	224.400
443	228.700
445	229.400
406	230.600
414	230.200
438	230.400
465	230.200
401	231.500
402	231.900
432	232.000
453	231.600
454	231.900
476	231.900
467	232.500
489	232.600
415	233.100
449	234.300
471	234.800
472	236.000
